"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.45","50.70","KAMLOOPS A","1163781","2023-05-30","2023","05","30","","27.2","","9.2","","18.2","","0.0","","0.2","","0.0","","0.0","","0.0","","","","11","","45",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-05-31","2023","05","31","","24.5","","8.2","","16.4","","1.6","","0.0","","0.0","","0.0","","0.0","","","","28","","42",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-01","2023","06","01","","27.2","","11.8","","19.5","","0.0","","1.5","","0.0","","0.0","","0.0","","","","29","","35",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-02","2023","06","02","","30.7","","9.4","","20.1","","0.0","","2.1","","0.0","","0.0","","0.0","","","","21","","44",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-03","2023","06","03","","32.1","","9.8","","21.0","","0.0","","3.0","","0.0","","0.0","","0.0","","","","11","","46",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-04","2023","06","04","","28.0","","12.7","","20.4","","0.0","","2.4","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-05","2023","06","05","","24.0","","8.6","","16.3","","1.7","","0.0","","0.0","","0.0","","0.0","","","","30","","50",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-06","2023","06","06","","29.4","","7.1","","18.3","","0.0","","0.3","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-07","2023","06","07","","35.2","","8.3","","21.8","","0.0","","3.8","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-08","2023","06","08","","36.3","","11.7","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-09","2023","06","09","","29.5","","19.1","","24.3","","0.0","","6.3","","0.0","T","0.0","","0.0","T","","","17","","51",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-10","2023","06","10","","23.9","","16.4","","20.2","","0.0","","2.2","","6.2","","0.0","","6.2","","","","28","","37",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-11","2023","06","11","","29.0","","16.5","","22.8","","0.0","","4.8","","0.0","T","0.0","","0.0","T","","","28","","37",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-12","2023","06","12","","33.6","","13.6","","23.6","","0.0","","5.6","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-13","2023","06","13","","26.4","","13.3","","19.9","","0.0","","1.9","","0.2","","0.0","","0.2","","","","33","","76",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-14","2023","06","14","","19.4","","12.8","","16.1","","1.9","","0.0","","0.0","","0.0","","0.0","","","","28","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-15","2023","06","15","","28.1","","11.6","","19.9","","0.0","","1.9","","0.0","","0.0","","0.0","","","","19","","36",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-16","2023","06","16","","25.9","","15.7","","20.8","","0.0","","2.8","","0.2","","0.0","","0.2","","","","19","","52",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-17","2023","06","17","","25.1","","11.2","","18.2","","0.0","","0.2","","0.0","","0.0","","0.0","","","","18","","50",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-18","2023","06","18","","19.0","","10.6","","14.8","","3.2","","0.0","","0.0","T","0.0","","0.0","T","","","28","","48",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-19","2023","06","19","","12.8","","10.4","","11.6","","6.4","","0.0","","1.3","","0.0","","1.3","","","","29","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-20","2023","06","20","","17.4","","9.1","","13.3","","4.7","","0.0","","3.0","","0.0","","3.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-21","2023","06","21","","21.8","","10.3","","16.1","","1.9","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-22","2023","06","22","","26.9","","7.6","","17.3","","0.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-23","2023","06","23","","29.0","","9.5","","19.3","","0.0","","1.3","","0.0","T","0.0","","0.0","T","","","5","","71",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-24","2023","06","24","","24.1","","15.2","","19.7","","0.0","","1.7","","0.4","","0.0","","0.4","","","","28","","39",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-25","2023","06","25","","26.7","","12.1","","19.4","","0.0","","1.4","","0.3","","0.0","","0.3","","","","28","","35",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-26","2023","06","26","","32.0","","12.3","","22.2","","0.0","","4.2","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-27","2023","06","27","","33.9","","15.1","","24.5","","0.0","","6.5","","0.0","T","0.0","","0.0","T","","","23","","50",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-28","2023","06","28","","34.9","","14.8","","24.9","","0.0","","6.9","","0.4","","0.0","","0.4","","","","17","","53",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-29","2023","06","29","","33.4","","17.3","","25.4","","0.0","","7.4","","0.0","","0.0","","0.0","","","","22","","48",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-06-30","2023","06","30","","34.3","","13.2","","23.8","","0.0","","5.8","","0.0","","0.0","","0.0","","","","23","","44",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-01","2023","07","01","","30.9","","14.8","","22.9","","0.0","","4.9","","0.0","","0.0","","0.0","","","","23","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-02","2023","07","02","","26.9","","11.7","","19.3","","0.0","","1.3","","0.0","","0.0","","0.0","","","","34","","38",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-03","2023","07","03","","27.9","","10.3","","19.1","","0.0","","1.1","","0.0","","0.0","","0.0","","","","28","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-04","2023","07","04","","31.7","","12.9","","22.3","","0.0","","4.3","","0.0","","0.0","","0.0","","","","27","","36",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-05","2023","07","05","","33.0","","12.6","","22.8","","0.0","","4.8","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-06","2023","07","06","","34.2","","13.9","","24.1","","0.0","","6.1","","0.0","","0.0","","0.0","","","","29","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-07","2023","07","07","","33.5","","18.0","","25.8","","0.0","","7.8","","0.0","","0.0","","0.0","","","","19","","60",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-08","2023","07","08","","35.6","","14.9","","25.3","","0.0","","7.3","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-09","2023","07","09","","31.9","","16.2","","24.1","","0.0","","6.1","","2.6","","0.0","","2.6","","","","12","","55",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-10","2023","07","10","","33.8","","15.8","","24.8","","0.0","","6.8","","0.0","T","0.0","","0.0","T","","","18","","72",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-11","2023","07","11","","33.4","","17.1","","25.3","","0.0","","7.3","","0.0","","0.0","","0.0","","","","10","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-12","2023","07","12","","31.5","","14.1","","22.8","","0.0","","4.8","","0.2","","0.0","","0.2","","","","17","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-13","2023","07","13","","30.3","","15.2","","22.8","","0.0","","4.8","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-14","2023","07","14","","33.0","","14.7","","23.9","","0.0","","5.9","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-15","2023","07","15","","34.8","","15.2","","25.0","","0.0","","7.0","","0.0","","0.0","","0.0","","","","18","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-16","2023","07","16","","35.6","","14.8","","25.2","","0.0","","7.2","","0.0","","0.0","","0.0","","","","25","","56",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-17","2023","07","17","","28.3","","14.2","","21.3","","0.0","","3.3","","0.5","","0.0","","0.5","","","","32","","71",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-18","2023","07","18","","28.9","","11.1","","20.0","","0.0","","2.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-19","2023","07","19","","34.6","","13.4","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-20","2023","07","20","","38.3","","17.3","","27.8","","0.0","","9.8","","0.0","T","0.0","","0.0","T","","","16","","55",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-21","2023","07","21","","36.9","","17.1","","27.0","","0.0","","9.0","","0.0","","0.0","","0.0","","","","23","","35",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-22","2023","07","22","","33.6","","20.4","","27.0","","0.0","","9.0","","0.0","","0.0","","0.0","","","","25","","51",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-23","2023","07","23","","34.1","","15.6","","24.9","","0.0","","6.9","","0.0","","0.0","","0.0","","","","25","","42",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-24","2023","07","24","","27.9","","16.1","","22.0","","0.0","","4.0","","5.2","","0.0","","5.2","","","","25","","64",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-25","2023","07","25","","25.2","","11.8","","18.5","","0.0","","0.5","","0.0","T","0.0","","0.0","T","","","23","","47",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-26","2023","07","26","","26.8","","9.8","","18.3","","0.0","","0.3","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-27","2023","07","27","","30.0","","10.6","","20.3","","0.0","","2.3","","0.8","","0.0","","0.8","","","","3","","44",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-28","2023","07","28","","30.2","","16.3","","23.3","","0.0","","5.3","","0.0","T","0.0","","0.0","T","","","12","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-29","2023","07","29","","34.5","","14.8","","24.7","","0.0","","6.7","","0.0","","0.0","","0.0","","","","27","","35",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-30","2023","07","30","","32.0","","14.6","","23.3","","0.0","","5.3","","0.0","","0.0","","0.0","","","","18","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-07-31","2023","07","31","","29.9","","12.0","","21.0","","0.0","","3.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-01","2023","08","01","","32.1","","13.1","","22.6","","0.0","","4.6","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-02","2023","08","02","","30.0","","11.8","","20.9","","0.0","","2.9","","0.0","","0.0","","0.0","","","","29","","43",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-03","2023","08","03","","31.3","","13.1","","22.2","","0.0","","4.2","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-04","2023","08","04","","33.8","","13.2","","23.5","","0.0","","5.5","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-05","2023","08","05","","35.2","","15.9","","25.6","","0.0","","7.6","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-06","2023","08","06","","36.2","","15.0","","25.6","","0.0","","7.6","","0.0","","0.0","","0.0","","","","30","","64",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-07","2023","08","07","","31.6","","21.6","","26.6","","0.0","","8.6","","0.0","","0.0","","0.0","","","","28","","39",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-08","2023","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-09","2023","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-10","2023","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-11","2023","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-12","2023","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-13","2023","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-14","2023","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-15","2023","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-16","2023","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-17","2023","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-18","2023","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-19","2023","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-20","2023","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-21","2023","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-22","2023","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-23","2023","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-24","2023","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-25","2023","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-26","2023","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-27","2023","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-28","2023","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-29","2023","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-30","2023","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-08-31","2023","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-01","2023","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-02","2023","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-03","2023","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-04","2023","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-05","2023","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-06","2023","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-07","2023","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-08","2023","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-09","2023","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-10","2023","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-11","2023","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-12","2023","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-13","2023","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-14","2023","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-15","2023","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-16","2023","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-17","2023","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-18","2023","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-19","2023","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-20","2023","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-21","2023","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-22","2023","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-23","2023","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-24","2023","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-25","2023","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-26","2023","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-27","2023","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-28","2023","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-29","2023","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-09-30","2023","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-01","2023","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-02","2023","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-03","2023","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-04","2023","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-05","2023","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-06","2023","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-07","2023","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-08","2023","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-09","2023","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-10","2023","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-11","2023","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-12","2023","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-13","2023","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-14","2023","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-15","2023","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-16","2023","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-17","2023","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-18","2023","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-19","2023","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-20","2023","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-21","2023","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-22","2023","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-23","2023","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-24","2023","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-25","2023","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-26","2023","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-27","2023","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-28","2023","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-29","2023","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-30","2023","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-10-31","2023","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-01","2023","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-02","2023","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-03","2023","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-04","2023","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-05","2023","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-06","2023","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-07","2023","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-08","2023","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-09","2023","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-10","2023","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-11","2023","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-12","2023","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-13","2023","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-14","2023","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-15","2023","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-16","2023","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-17","2023","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-18","2023","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-19","2023","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-20","2023","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-21","2023","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-22","2023","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-23","2023","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-24","2023","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-25","2023","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-26","2023","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-27","2023","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-28","2023","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-29","2023","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-11-30","2023","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-01","2023","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-02","2023","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-03","2023","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-04","2023","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-05","2023","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-120.45","50.70","KAMLOOPS A","1163781","2023-12-06","2023","12","06","","","","","","","","","","","","","","","","","","","","","","",""
